goout,Map,K&K,"that_be_in_fr",https://www.google.com/maps/d/edit?mid=1dV3HN2QWCN-pVUC98kwS97TQG7Hvi8RF&usp=sharing
relax,Essay,芥川亜由弥,"知らないところ a place i don't know",https://newlifecollection.com/ca89/1185/p0-r89-s/
relax,Essay,芥川亜由弥,"長い散歩　a long walk",https://newlifecollection.com/ca89/1181/p0-r89-s/
goout,Essay,芥川亜由弥,"727",https://newlifecollection.com/ca89/1152/p-r89-s/
relax,Essay,中尾香織,"遠くを見る",https://newlifecollection.com/ca89/1151/p-r89-s/
relax,Essay,ささじまかずま,"月曜の朝に",https://newlifecollection.com/ca89/375/p-r89-s/
relax,Essay,ささじまかずま,"ゴミと動物",https://newlifecollection.com/ca89/374/p1-r89-s/
goout,Essay,中尾香織,"細い道",https://newlifecollection.com/ca89/37/p1-r89-s/
goout,PDF,芥川亜由弥,"遅くまで空いてるプール 大阪版",/map/members/with/osakapoolmap.pdf
goout,PDF,ささじまかずま,"いつもと違う道を通る Going the other way than usual",/map/members/with/essay.pdf
